SCENARIO_seated_noavatar
Timestamp,MovementDeltaX,MovementDeltaY,MovementDeltaZ,TotalMovementDelta
11/20/2024 4:10:25 AM,0,0,0,0
11/20/2024 4:10:27 AM,-0.6398973,2.209204,0.3073597,2.320457
11/20/2024 4:10:28 AM,-0.02565289,-0.03183293,-0.03774643,0.0556435
11/20/2024 4:10:29 AM,0.00437355,-0.00568223,-0.01584911,0.01739569
11/20/2024 4:10:30 AM,0.06610727,-0.03022099,-0.1158395,0.1367562
11/20/2024 4:10:31 AM,0.06034184,0.005054474,0.0004253387,0.06055465
11/20/2024 4:10:32 AM,0.08282185,0.01518726,-0.1024427,0.132607
11/20/2024 4:10:33 AM,0.1760964,-0.001779556,-0.03138924,0.178881
11/20/2024 4:10:34 AM,0.1879921,-0.02422667,0.008359909,0.189731
11/20/2024 4:10:35 AM,-0.00656414,-0.02767467,0.03566837,0.04562026
11/20/2024 4:10:36 AM,0.01132011,-0.04143834,-0.01706219,0.0462212
11/20/2024 4:10:37 AM,0.04879761,-0.02246761,-0.06496048,0.08429629
11/20/2024 4:10:38 AM,-0.01505184,0.02423501,0.01549625,0.03246579
11/20/2024 4:10:39 AM,-0.08700466,0.02594781,0.08435726,0.1239324
11/20/2024 4:10:40 AM,-0.1120806,0.00600791,0.09316635,0.1458702
11/20/2024 4:10:41 AM,0.1091571,-0.0792501,-0.02097321,0.1365127
11/20/2024 4:10:42 AM,0.0172267,-0.140631,0.02583456,0.1440182
11/20/2024 4:10:43 AM,-0.04215145,-0.1916833,0.08982515,0.215842
11/20/2024 4:10:44 AM,-0.07512856,-0.09364605,-0.04764318,0.1291656
11/20/2024 4:10:45 AM,-0.08686829,0.09005761,-0.3527961,0.3743281
11/20/2024 4:10:46 AM,-0.05481672,0.04610348,-0.1263885,0.1452738
11/20/2024 4:10:47 AM,0.02259398,0.01658237,-0.000954628,0.02804236
11/20/2024 4:10:48 AM,-0.09983969,-0.007607937,-0.02242327,0.1026092
11/20/2024 4:10:49 AM,-0.05143166,-0.001011729,0.02345228,0.05653537
11/20/2024 4:10:50 AM,-0.06675291,-0.02156055,0.0149231,0.07171825
11/20/2024 4:10:51 AM,0.005914688,-0.004793048,-0.0006046295,0.007636912
11/20/2024 4:10:52 AM,0.07000923,0.04306197,-0.02389288,0.08559495
11/20/2024 4:10:53 AM,0.04655552,0.01413691,-0.01438951,0.05073782
11/20/2024 4:10:54 AM,0.0520277,0.004354239,-0.05672121,0.07709175
11/20/2024 4:10:55 AM,0.01491547,0.02409148,-0.008110523,0.02947289
11/20/2024 4:10:56 AM,-0.06117153,-0.01635063,-0.06950092,0.09401956
11/20/2024 4:10:57 AM,0.04999828,-0.04632401,0.02347088,0.07208762
11/20/2024 4:10:58 AM,0.01167917,0.02081907,0.08581114,0.08906957
11/20/2024 4:10:59 AM,-0.03062487,-0.001007915,0.02898264,0.04217691
11/20/2024 4:11:00 AM,-0.0150795,0.0120914,0.0165062,0.02541747
11/20/2024 4:11:01 AM,-0.002581596,-0.01674736,0.008505821,0.01896016
11/20/2024 4:11:02 AM,-0.04149055,-0.0006122589,0.01950788,0.04585192
11/20/2024 4:11:03 AM,-0.007614613,-0.01684654,-0.001642704,0.01856035
11/20/2024 4:11:04 AM,-0.001282215,-0.02185833,-0.007173538,0.02304106
11/20/2024 4:11:05 AM,0.1198215,-0.01906657,-0.1488953,0.1920691
11/20/2024 4:11:06 AM,0.09472084,-0.04883683,-0.05613232,0.1204488
11/20/2024 4:11:07 AM,0.08506346,-0.06449747,0.02549028,0.1097519
11/20/2024 4:11:08 AM,0.03147793,-0.05932617,0.0763917,0.101716
11/20/2024 4:11:09 AM,-0.05344152,0.08029211,0.03199482,0.1016193
11/20/2024 4:11:10 AM,-0.1429238,0.04861271,0.0758667,0.1689561
11/20/2024 4:11:11 AM,-0.1299644,0.01548016,0.02309513,0.1329051
11/20/2024 4:11:12 AM,-0.08642483,-0.0008693933,0.00931406,0.08692962
11/20/2024 4:11:13 AM,-0.1626968,-0.03521848,-0.1207523,0.2056495
11/20/2024 4:11:14 AM,0.2224426,0.1142559,-0.2345319,0.3428416
11/20/2024 4:11:15 AM,-0.0723896,0.01525259,-0.1220922,0.1427565
11/20/2024 4:11:16 AM,0.002613068,0.01074958,0.02184534,0.02448674
11/20/2024 4:11:17 AM,0.01150513,0.006309152,0.01828909,0.0225092
11/20/2024 4:11:18 AM,0.05684471,0.003484964,0.09593487,0.111566
11/20/2024 4:11:19 AM,0.01704884,-0.02453887,0.1905355,0.1928642
11/20/2024 4:11:20 AM,0.02982712,-0.0069592,0.02846909,0.04181598
11/20/2024 4:11:21 AM,-0.01186085,0.003119469,0.063169,0.06434853
11/20/2024 4:11:22 AM,-0.02972126,0.0009506941,0.001122952,0.02975766
11/20/2024 4:11:23 AM,-0.01796818,-0.02813852,0.04611492,0.05693169
11/20/2024 4:11:24 AM,0.01483822,-0.01500845,-0.02232647,0.03072292
11/20/2024 4:11:25 AM,0.2426701,-0.114229,-0.1916084,0.3296222
11/20/2024 4:11:26 AM,0.1011162,-0.08674467,-0.06322956,0.147469
11/20/2024 4:11:27 AM,0.009988785,-0.007615447,0.03013515,0.0326481
11/20/2024 4:11:28 AM,0.01037502,-0.04918957,-0.04426289,0.06698103
11/20/2024 4:11:29 AM,0.02487087,-0.0008640289,-0.01457691,0.02884082
11/20/2024 4:11:30 AM,-0.02312565,0.1136041,0.05195427,0.127043
11/20/2024 4:11:31 AM,-0.1645341,0.1314502,0.1001592,0.2332005
11/20/2024 4:11:32 AM,-0.1016812,0.04673338,0.06313038,0.1284855
11/20/2024 4:11:33 AM,-0.05620575,0.007478833,0.03180742,0.06501331
11/20/2024 4:11:34 AM,0.006907463,0.0106231,0.01660204,0.02088518
11/20/2024 4:11:35 AM,-0.02193451,-0.002265573,0.02617121,0.03422262
11/20/2024 4:11:36 AM,0.01988602,0.0151813,-0.01577663,0.02957749
11/20/2024 4:11:37 AM,0.008704185,-0.002044559,-0.006499767,0.01105396
11/20/2024 4:11:38 AM,-0.06046343,-0.02747941,0.005477905,0.06664046
11/20/2024 4:11:39 AM,-0.03906107,-0.008708239,0.006688118,0.04057501
11/20/2024 4:11:40 AM,0.01198864,0.002596498,-0.005774975,0.01355801
11/20/2024 4:11:41 AM,0.04368305,0.0251106,-0.0352087,0.06146872
11/20/2024 4:11:42 AM,0.01690388,-0.00398016,0.02161694,0.02772859
11/20/2024 4:11:43 AM,-0.05390787,-0.006803393,0.02701187,0.06067937
11/20/2024 4:11:44 AM,-0.05860853,-0.01269948,0.01629639,0.06214346
11/20/2024 4:11:45 AM,0.00625515,0.005025029,-0.01141167,0.01395005
11/20/2024 4:11:46 AM,-0.009185314,-0.04035532,-0.02738523,0.04962735
11/20/2024 4:11:47 AM,0.2514892,-0.05114853,-0.08151245,0.2692717
11/20/2024 4:11:48 AM,0.1488948,-0.1460367,-0.09996271,0.2312767
11/20/2024 4:11:49 AM,0.05657339,-0.02195072,-0.03399611,0.06955658
11/20/2024 4:11:50 AM,-0.0008249283,0.04232907,0.01218748,0.04405639
11/20/2024 4:11:51 AM,-0.1577654,0.1693857,0.09733486,0.2511086
TimerStopped,11/20/2024 4:11:51 AM,TimeLeft:35s
SCENARIO_seated_avatar
Timestamp,MovementDeltaX,MovementDeltaY,MovementDeltaZ,TotalMovementDelta
11/20/2024 4:15:16 AM,0,0,0,0
11/20/2024 4:15:17 AM,0.24085,2.149863,0.507319,2.222002
11/20/2024 4:15:18 AM,0.1556664,-0.04555368,-0.00662756,0.1623302
11/20/2024 4:15:19 AM,0.04367208,-0.05846071,-0.07480907,0.104505
11/20/2024 4:15:20 AM,-0.1446934,0.03107905,0.1052871,0.1816245
11/20/2024 4:15:21 AM,-0.004325867,-0.03473949,-0.04726124,0.05881471
11/20/2024 4:15:22 AM,0.2148895,-0.07271695,-0.162797,0.2792277
11/20/2024 4:15:23 AM,-0.04311752,0.02293277,-0.1894579,0.195651
11/20/2024 4:15:24 AM,0.007780552,0.03329015,-0.05760002,0.06698159
11/20/2024 4:15:25 AM,-0.03940344,0.01215458,-0.0002675056,0.04123635
11/20/2024 4:15:26 AM,0.00225687,-0.0002493858,-0.02896976,0.02905861
11/20/2024 4:15:27 AM,0.01392031,-0.00997448,-0.1750736,0.1759092
11/20/2024 4:15:28 AM,-0.02193069,0.03282642,0.2430105,0.2461964
11/20/2024 4:15:29 AM,0.009952545,-0.1138499,0.03024197,0.1182177
11/20/2024 4:15:30 AM,-0.1709657,-0.2571325,0.1098251,0.3277315
11/20/2024 4:15:31 AM,-0.02809954,-0.10811,-0.09324789,0.1455078
11/20/2024 4:15:32 AM,-0.1757307,0.1542115,-0.3184538,0.3950637
11/20/2024 4:15:33 AM,0.05633545,-0.02993166,-0.05486441,0.0841409
11/20/2024 4:15:34 AM,-0.06479931,0.02105737,-0.01774502,0.07040773
11/20/2024 4:15:35 AM,-0.06780577,-0.003010154,0.04688501,0.08249174
11/20/2024 4:15:36 AM,-0.02969694,0.0161624,0.02094793,0.0397737
11/20/2024 4:15:37 AM,0.02032614,0.01721668,0.004475117,0.02701098
11/20/2024 4:15:38 AM,0.04919863,-0.007748604,0.01660633,0.05250063
11/20/2024 4:15:39 AM,0.1047096,0.001536369,0.007371426,0.10498
11/20/2024 4:15:40 AM,0.01371145,-0.00060606,0.01290274,0.01883751
11/20/2024 4:15:41 AM,0.02058363,0.008862615,-0.02420473,0.03298637
11/20/2024 4:15:42 AM,0.02640438,-0.009351492,-0.01792955,0.03325824
11/20/2024 4:15:43 AM,0.00987339,0.03164589,-0.1080637,0.1130341
11/20/2024 4:15:44 AM,-0.002408981,0.01083004,0.003967762,0.01178288
11/20/2024 4:15:45 AM,-0.0131855,1.072884E-06,-0.02446318,0.02779037
11/20/2024 4:15:46 AM,-0.01567745,0.004894018,-0.04876328,0.05145475
11/20/2024 4:15:47 AM,-0.02050972,-0.02343464,-0.04514265,0.05484241
11/20/2024 4:15:48 AM,0.05434036,-0.1319861,0.09904194,0.1737312
11/20/2024 4:15:49 AM,0.00297451,0.02939034,0.07173586,0.07758011
11/20/2024 4:15:50 AM,0.05176353,-0.04064584,-0.0807271,0.1041557
11/20/2024 4:15:51 AM,0.07506943,-0.0328548,-0.07614517,0.1118613
11/20/2024 4:15:52 AM,0.04058361,-0.02810884,-0.1181498,0.1280488
11/20/2024 4:15:53 AM,0.0002470016,0.02224994,-0.002261162,0.0223659
11/20/2024 4:15:54 AM,0.004281998,-0.004804134,-0.009821892,0.01174243
11/20/2024 4:15:55 AM,-0.002794266,-0.0197655,-0.02616787,0.03291261
11/20/2024 4:15:56 AM,0.0004358292,-0.004366755,-0.008098125,0.009210763
11/20/2024 4:15:57 AM,-0.08751106,0.06022131,0.1598768,0.1919515
11/20/2024 4:15:58 AM,-0.1679816,0.07768691,0.1325002,0.2276167
11/20/2024 4:15:59 AM,-0.02415228,0.007568121,0.06038857,0.06547815
11/20/2024 4:16:00 AM,-0.1351023,0.0023458,-0.01404381,0.1358505
